0.010000 0.000000 0.000000
0.010000 0.000100 0.002100
0.009978 0.000200 0.004064
0.009935 0.000300 0.005900
0.009873 0.000400 0.007617
0.009793 0.000499 0.009223
0.009696 0.000598 0.010724
0.009583 0.000695 0.012128
0.009455 0.000792 0.013441
0.009312 0.000888 0.014669
0.009157 0.000982 0.015816
0.008989 0.001075 0.016890
0.008809 0.001166 0.017894
0.008618 0.001256 0.018832
0.008418 0.001344 0.019710
0.008207 0.001430 0.020530
0.007987 0.001513 0.021297
0.007759 0.001595 0.022015
0.007523 0.001675 0.022685
0.007280 0.001752 0.023313
0.007029 0.001827 0.023899
0.006772 0.001900 0.024447
0.006508 0.001970 0.024960
0.006239 0.002038 0.025439
0.005964 0.002103 0.025887
0.005684 0.002165 0.026306
0.005400 0.002225 0.026698
0.005110 0.002282 0.027064
0.004817 0.002336 0.027406
0.004519 0.002387 0.027726
0.004218 0.002435 0.028025
0.003914 0.002481 0.028304
0.003606 0.002523 0.028566
0.003295 0.002563 0.028810
0.002981 0.002599 0.029038
0.002665 0.002632 0.029252
0.002346 0.002662 0.029451
0.002025 0.002689 0.029638
0.001702 0.002713 0.029812
0.001376 0.002733 0.029974
0.001049 0.002751 0.030127
0.000720 0.002765 0.030269
0.000390 0.002775 0.030401
0.000058 0.002783 0.030525
-0.000275 0.002787 0.030641
-0.000609 0.002788 0.030749
-0.000944 0.002786 0.030851
-0.001281 0.002780 0.030945
-0.001618 0.002771 0.031033
-0.001956 0.002758 0.031116
-0.002295 0.002742 0.031192
-0.002634 0.002723 0.031264
-0.002974 0.002700 0.031331
-0.003314 0.002674 0.031394
-0.003655 0.002644 0.031452
-0.003996 0.002611 0.031507
-0.004337 0.002574 0.031557
-0.004678 0.002534 0.031605
-0.005020 0.002491 0.031649
-0.005361 0.002444 0.031690
-0.005703 0.002393 0.031729
-0.006044 0.002339 0.031764
-0.006385 0.002282 0.031798
-0.006726 0.002221 0.031829
-0.007066 0.002157 0.031858
-0.007406 0.002089 0.031885
-0.007746 0.002018 0.031910
-0.008085 0.001943 0.031933
-0.008424 0.001864 0.031955
-0.008762 0.001783 0.031975
-0.009100 0.001697 0.031994
-0.009437 0.001609 0.032012
-0.009773 0.001516 0.032028
-0.010108 0.001420 0.032043
-0.010443 0.001321 0.032057
-0.010777 0.001219 0.032070
-0.011110 0.001112 0.032082
-0.011442 0.001003 0.032093
-0.011773 0.000890 0.032103
-0.012102 0.000773 0.032113
-0.012431 0.000653 0.032122
-0.012759 0.000530 0.032130
-0.013086 0.000403 0.032137
-0.013411 0.000272 0.032144
-0.013735 0.000139 0.032150
-0.014058 0.000001 0.032156
-0.014380 -0.000139 0.032161
-0.014700 -0.000283 0.032166
-0.015019 -0.000431 0.032171
-0.015336 -0.000581 0.032175
-0.015652 -0.000735 0.032179
-0.015966 -0.000893 0.032182
-0.016279 -0.001054 0.032185
-0.016591 -0.001218 0.032188
-0.016900 -0.001385 0.032190
-0.017208 -0.001556 0.032192
-0.017515 -0.001730 0.032194
-0.017819 -0.001908 0.032196
-0.018122 -0.002088 0.032198
-0.018423 -0.002272 0.032199
-0.018723 -0.002459 0.032200
-0.019020 -0.002650 0.032201
-0.019316 -0.002844 0.032202
-0.019609 -0.003040 0.032202
-0.019901 -0.003240 0.032203
-0.020190 -0.003444 0.032203
-0.020478 -0.003650 0.032204
-0.020764 -0.003860 0.032204
-0.021047 -0.004072 0.032204
-0.021328 -0.004288 0.032204
-0.021607 -0.004507 0.032204
